Qty,Parts,Description,Manufacturer,MPN,
12,"R60, R62, R64, R66, R68, R70, R72, R110, R140, R141, R142, R143",RES 33 OHM 1/16W 5% 0402 SMD,Yageo,RC0402JR-0733RL,
2,"R8, R95",Resistor 1Mohm 1/16W 1% 0402,Yageo,RC0402FR-071ML,
10,"R86, R126, R127, R128, R129, R130, R131, R134, R135, R136",RES. 33 OHM 5% (0603),Samsung,RC1608J330CS,
1,R88,RES. 100 OHM 1% (0402),Samsung,RC1005F101CS,
8,"R89, R90, R92, R96, R100, R104, R124, R125",RES. 1K 5% (0402),Samsung,RC1005J102CS,
1,R93,RES. 7.15K 1% (0402),Samsung,RC1005F7151CS,
1,R94,RES 4.12K OHM 1/16W 1% 0402 SMD,Samsung,RC1005F4121CS,
1,T1,TRANS PNP 60V 0.6A SOT23,ON Semiconductor,MMBT2907ALT1G,
2,"T3, T4",MOSFET N-CH 50V 200MA SC70-3,Diodes Inc.,BSS138W-7-F,
1,X1,"CONN HEADER 6POS, VERTICAL,  .100 STR TIN",FCI,68000-406HLF,
1,X12,Power Jack,CUI,PJ-102A,
1,X2,Connector SD/MMC,ALPS,SCHA5B0200,
1,X3,Single Row USB Right Angle,TE Connectivity / AMP,787616-1-P,
,,,,LY-USB-004-001-A1,
1,X4,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle, Horizontal",FCI,10118192-0001LF,
1,X5,HDMI / Displayport / DVI Connectors MICRO HDMI RCPT SMT DIP+ SMT LEG TYPE D,FCI,10118241-001RLF,
,,,,,
